Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DELL,DELL,DELL,DELL,DELL,DELL
Date,,,,,,
2020-01-02,24.73758316040039,26.502788543701172,26.670045852661133,26.127723693847656,26.386213302612305,4278253
2020-01-03,23.923879623413086,25.631019592285156,26.345666885375977,25.55499267578125,26.051698684692383,4447142
2020-01-06,24.165149688720703,25.889507293701172,25.99594497680664,25.387733459472656,25.387733459472656,4983403
2020-01-07,23.559600830078125,25.24074935913086,26.00608253479004,25.124176025390625,25.869234085083008,6135833
2020-01-08,23.654220581054688,25.342119216918945,25.36239242553711,24.91130256652832,25.08869743347168,6934306
2020-01-09,23.47444725036621,25.149517059326172,25.47389793395996,24.845413208007812,25.4434871673584,7158833
2020-01-10,23.422409057617188,25.093765258789062,25.311708450317383,25.043081283569336,25.149517059326172,4865615
2020-01-13,23.57379722595215,25.25595474243164,25.33704948425293,24.673086166381836,25.18499755859375,6736414
2020-01-14,24.061071395874023,25.778003692626953,26.117586135864258,25.245819091796875,25.25595474243164,6555490
2020-01-15,23.938068389892578,25.646223068237305,25.919918060302734,25.54485511779785,25.701976776123047,3906145
2020-01-16,24.28815269470215,26.02128791809082,26.218955993652344,25.69183921813965,25.854028701782227,4445958
2020-01-17,23.8150691986084,25.51444435119629,26.10238265991211,25.367460250854492,26.10238265991211,6502416
2020-01-21,23.318330764770508,24.982261657714844,25.428281784057617,24.784591674804688,25.41814422607422,5397142
2020-01-22,23.625835418701172,25.311708450317383,25.40294075012207,25.08869743347168,25.08869743347168,2705180
2020-01-23,23.829259872436523,25.52964973449707,25.58033561706543,25.022808074951172,25.35225486755371,2187860
2020-01-24,23.644758224487305,25.331981658935547,25.869234085083008,25.10390281677246,25.620882034301758,3948170
2020-01-27,22.779016494750977,24.404460906982422,24.779523849487305,24.313228607177734,24.66295051574707,6143133
2020-01-28,23.029748916625977,24.673086166381836,24.9366455078125,24.505828857421875,24.586923599243164,4225377
2020-01-29,23.157480239868164,24.809934616088867,24.9366455078125,24.602128982543945,24.809934616088867,2788836
2020-01-30,23.36090660095215,25.027875900268555,25.0734920501709,24.409528732299805,24.531171798706055,4742697
2020-01-31,23.072328567504883,24.71870231628418,24.961986541748047,24.404460906982422,24.901166915893555,4627869
2020-02-03,23.26629066467285,24.9265079498291,25.038013458251953,24.63760757446289,24.728839874267578,3265118
2020-02-04,24.141494750976562,25.864166259765625,26.09224510192871,25.058286666870117,25.342119216918945,5845604
2020-02-05,24.027957916259766,25.742523193359375,26.5534725189209,25.646223068237305,26.09224510192871,7337587
2020-02-06,25.00251007080078,26.786619186401367,26.827167510986328,25.879371643066406,25.930055618286133,6581533
2020-02-07,24.420616149902344,26.1632022857666,26.609224319458008,25.848960876464844,26.609224319458008,9318084
